id,code,description,total_emp,salary
373012,37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",25560,30370
373013,37-3013,Tree trimmers and pruners,30670,31110
373019,37-3019,"Grounds maintenance workers, all other",18230,25640
390000,39-0000,Personal care and service occupations,3339510,23980
391011,39-1011,Gaming supervisors,25800,44290
391012,39-1012,Slot key persons,13680,25900
391021,39-1021,First-line supervisors/managers of personal service workers,126870,37190
392011,39-2011,Animal trainers,9110,30390
392021,39-2021,Nonfarm animal caretakers,118760,21180
393011,39-3011,Gaming dealers,86210,18120
393012,39-3012,Gaming and sports book writers and runners,17370,22120
393019,39-3019,"Gaming service workers, all other",14270,25310
393021,39-3021,Motion picture projectionists,10840,21500
393031,39-3031,"Ushers, lobby attendants, and ticket takers",106700,17880
393091,39-3091,Amusement and recreation attendants,245380,18220
393092,39-3092,Costume attendants,4570,30890
393093,39-3093,"Locker room, coatroom, and dressing room attendants",17830,20780
393099,39-3099,"Entertainment attendants and related workers, all other",42020,20150
394011,39-4011,Embalmers,8930,38810
394021,39-4021,Funeral attendants,33100,22470
395011,39-5011,Barbers,12110,25860
395012,39-5012,"Hairdressers, hairstylists, and cosmetologists",343320,25760
395091,39-5091,"Makeup artists, theatrical and performance",1400,40710
395092,39-5092,Manicurists and pedicurists,52730,22020
395093,39-5093,Shampooers,15310,17490
395094,39-5094,Skin care specialists,24960,30600
396011,39-6011,Baggage porters and bellhops,49700,22620
396012,39-6012,Concierges,19770,26900
396021,39-6021,Tour guides and escorts,31620,24060
396022,39-6022,Travel guides,3520,33470
396031,39-6031,Flight attendants,97010,35470
396032,39-6032,"Transportation attendants, except flight attendants and baggage porters",20690,22040
399011,39-9011,Child care workers,576680,19670
399021,39-9021,Personal and home care aides,595350,18940
399031,39-9031,Fitness trainers and aerobics instructors,219990,32990
399032,39-9032,Recreation workers,278070,23790
399041,39-9041,Residential advisors,51630,24960
399099,39-9099,"Personal care and service workers, all other",64210,22300
410000,41-0000,Sales and related occupations,14332020,35240
411011,41-1011,First-line supervisors/managers of retail sales workers,1156540,39210
411012,41-1012,First-line supervisors/managers of non-retail sales workers,280770,78170
412011,41-2011,Cashiers,3545330,18380
412012,41-2012,Gaming change persons and booth cashiers,24640,21940
412021,41-2021,Counter and rental clerks,462040,23850
412022,41-2022,Parts salespersons,230480,30540
412031,41-2031,Retail salespersons,4429060,24530
413011,41-3011,Advertising sales agents,161440,52290
413021,41-3021,Insurance sales agents,321920,58580
413031,41-3031,"Securities, commodities, and financial services sales agents",268480,90470
413041,41-3041,Travel agents,85580,32190
413099,41-3099,"Sales representatives, services, all other",556430,57480
414011,41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",403320,76460
414012,41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",1505930,60190
419011,41-9011,Demonstrators and product promoters,83270,26570
419012,41-9012,Models,2060,25040
419021,41-9021,Real estate brokers,49270,79800
419022,41-9022,Real estate sales agents,172030,55090
419031,41-9031,Sales engineers,75940,86350
419041,41-9041,Telemarketers,354000,24430
419091,41-9091,"Door-to-door sales workers, news and street vendors, and related workers",11600,26190
419099,41-9099,"Sales and related workers, all other",151890,41870
430000,43-0000,Office and administrative support occupations,23270810,31200
431011,43-1011,First-line supervisors/managers of office and administrative support workers,1378240,47620
432011,43-2011,"Switchboard operators, including answering service",160200,24460
432021,43-2021,Telephone operators,23840,32690
432099,43-2099,"Communications equipment operators, all other",3830,35470
433011,43-3011,Bill and account collectors,409570,31630
433021,43-3021,Billing and posting clerks and machine operators,515060,31080
433031,43-3031,"Bookkeeping, accounting, and auditing clerks",1858500,32780
433041,43-3041,Gaming cage workers,17120,24610
433051,43-3051,Payroll and timekeeping clerks,201940,34500
433061,43-3061,Procurement clerks,77180,34570
433071,43-3071,Tellers,607960,23620
434011,43-4011,Brokerage clerks,71170,39990
434021,43-4021,Correspondence clerks,15550,30600
434031,43-4031,"Court, municipal, and license clerks",109080,34190
434041,43-4041,"Credit authorizers, checkers, and clerks",67480,31200
434051,43-4051,Customer service representatives,2193430,31040
434061,43-4061,"Eligibility interviewers, government programs",107220,39240
434071,43-4071,File clerks,214590,24450
434081,43-4081,"Hotel, motel, and resort desk clerks",223210,20100
